campaign_id,title,description,creator_id,creator_email,email_domain,goal,amount_raised,created_at,updates_count,donations_count,refunds_count,images_count,videos_count,payout_country,country,user_account_age_days,user_total_campaigns,payment_sources_count
C29,AR Training Simulator,A tech innovation project about ar training simulator.,U95,user9238@outlook.com,outlook.com,83178,29303,2025-06-24T10:15:11Z,7,7,14,4,1,SG,US,1471,9,2
C30,IoT Smart Farming Kit,A tech innovation project about iot smart farming kit.,U1124,user7070@outlook.com,outlook.com,55934,13535,2025-08-25T10:15:11Z,3,6,16,5,1,DE,UK,627,5,1
C31,Blockchain Supply Tracker,A tech innovation project about blockchain supply tracker.,U621,user7539@yahoo.com,yahoo.com,10565,6999,2025-08-05T10:15:11Z,7,27,29,4,0,CA,SG,1862,3,1
C32,Wearable Health Patch,A tech innovation project about wearable health patch.,U2005,user5416@yahoo.com,yahoo.com,28365,6660,2025-08-16T10:15:11Z,8,3,17,0,1,US,UK,160,1,2
C33,Wearable Health Patch,A tech innovation project about wearable health patch.,U79,user9565@gmail.com,gmail.com,39613,18165,2025-01-04T10:15:11Z,8,26,6,2,0,DE,IN,1888,2,1
C34,EV Battery Monitor,A tech innovation project about ev battery monitor.,U866,user866@yahoo.com,yahoo.com,5889,315,2025-01-24T10:15:11Z,5,130,12,3,1,DE,SG,676,8,2
C35,Low-Power Microcontroller,A tech innovation project about low-power microcontroller.,U702,user1922@yahoo.com,yahoo.com,81697,48839,2025-09-24T10:15:11Z,2,37,6,0,0,CA,IN,228,7,1
C36,IoT Smart Farming Kit,A tech innovation project about iot smart farming kit.,U2048,user2340@protonmail.com,protonmail.com,24222,3590,2025-01-08T10:15:11Z,1,10,13,3,1,IN,UK,1562,9,3
C37,IoT Smart Farming Kit,A tech innovation project about iot smart farming kit.,U1632,user2442@protonmail.com,protonmail.com,63872,11521,2025-09-19T10:15:11Z,5,73,13,2,1,SG,US,32,10,2
C38,AI EdTech Assistant,A tech innovation project about ai edtech assistant.,U1854,user1502@outlook.com,outlook.com,37433,12184,2025-01-07T10:15:11Z,2,119,14,0,0,SG,DE,1297,2,1
C39,Sustainable Water Purifier,A tech innovation project about sustainable water purifier.,U1718,user4727@protonmail.com,protonmail.com,11378,7096,2024-12-17T10:15:11Z,4,78,20,1,1,US,SG,1291,4,3
C40,AR Training Simulator,A tech innovation project about ar training simulator.,U1733,user3171@yahoo.com,yahoo.com,20817,5641,2025-12-03T10:15:11Z,0,52,23,4,1,SG,CA,768,11,3
C41,Low-Power Microcontroller,A tech innovation project about low-power microcontroller.,U2897,user7775@gmail.com,gmail.com,85490,9838,2025-04-21T10:15:11Z,1,150,12,1,0,DE,CA,1274,0,1
C42,Wearable Health Patch,A tech innovation project about wearable health patch.,U1689,user1990@protonmail.com,protonmail.com,70880,19410,2025-01-17T10:15:11Z,1,58,17,1,1,SG,DE,1969,7,3
C43,Robotics Automation Arm,A tech innovation project about robotics automation arm.,U1971,user4129@protonmail.com,protonmail.com,26808,5769,2025-10-17T10:15:11Z,2,56,27,1,1,SG,JP,1369,4,2
C44,AI Drone Navigation System,A tech innovation project about ai drone navigation system.,U35,user8407@yahoo.com,yahoo.com,44036,11189,2025-07-26T10:15:11Z,7,67,17,3,0,US,IN,1783,10,2
C45,Robotics Automation Arm,A tech innovation project about robotics automation arm. wire transfer,U1251,user6147@yahoo.com,yahoo.com,13287,5511,2025-10-04T10:15:11Z,8,108,1,0,1,JP,IN,617,3,1
C46,AI Drone Navigation System,A tech innovation project about ai drone navigation system.,U2666,user8606@protonmail.com,protonmail.com,9324,2009,2025-01-10T10:15:11Z,3,135,17,0,0,SG,US,1408,8,1
C47,EV Battery Monitor,A tech innovation project about ev battery monitor.,U2089,user3653@gmail.com,gmail.com,38655,2878,2025-01-24T10:15:11Z,6,64,13,0,1,IN,DE,1985,10,1
C48,Robotics Automation Arm,A tech innovation project about robotics automation arm.,U1595,user9522@yahoo.com,yahoo.com,11685,2203,2025-03-03T10:15:11Z,4,96,22,2,0,US,IN,222,10,2
C49,AI EdTech Assistant,A tech innovation project about ai edtech assistant.,U1654,user8404@gmail.com,gmail.com,54435,12073,2025-06-15T10:15:11Z,3,123,1,3,1,DE,SG,658,6,1
C50,Robotics Automation Arm,A tech innovation project about robotics automation arm.,U2080,user8519@protonmail.com,protonmail.com,77661,81,2025-09-20T10:15:11Z,4,99,20,1,1,UK,US,841,0,1
C51,Sustainable Water Purifier,A tech innovation project about sustainable water purifier.,U827,user142@protonmail.com,protonmail.com,79934,43701,2025-03-06T10:15:11Z,2,48,13,3,1,UK,CA,1285,4,1
C52,Robotics Automation Arm,A tech innovation project about robotics automation arm.,U1302,user8936@outlook.com,outlook.com,26574,14663,2024-12-19T10:15:11Z,1,150,2,5,1,CA,UK,158,2,3
C53,AI EdTech Assistant,A tech innovation project about ai edtech assistant.,U1416,user7002@yahoo.com,yahoo.com,60826,24686,2025-01-30T10:15:11Z,7,98,0,5,1,UK,CA,1139,9,2
C54,Robotics Automation Arm,A tech innovation project about robotics automation arm.,U95,user2907@outlook.com,outlook.com,66468,22980,2025-07-29T10:15:11Z,0,76,4,5,1,US,CA,633,4,2
C55,IoT Smart Farming Kit,A tech innovation project about iot smart farming kit.,U2879,user9881@protonmail.com,protonmail.com,63749,10668,2025-04-07T10:15:11Z,2,102,17,2,1,SG,CA,1804,8,1
C56,AI Drone Navigation System,A tech innovation project about ai drone navigation system.,U1068,user3249@gmail.com,gmail.com,61390,0,2025-08-25T10:15:11Z,5,88,26,2,1,IN,CA,1505,6,2
C57,Robotics Automation Arm,A tech innovation project about robotics automation arm.,U2713,user3519@protonmail.com,protonmail.com,69921,13612,2025-07-08T10:15:11Z,8,45,10,3,0,DE,SG,1056,3,1
C58,AI Drone Navigation System,A tech innovation project about ai drone navigation system.,U2556,user2422@yahoo.com,yahoo.com,42826,11685,2025-02-06T10:15:11Z,6,82,30,4,0,IN,UK,1284,10,2
C59,Wearable Health Patch,A tech innovation project about wearable health patch.,U2336,user8562@yahoo.com,yahoo.com,14109,336,2025-04-11T10:15:11Z,4,32,24,1,0,JP,CA,1807,12,1
C60,Blockchain Supply Tracker,A tech innovation project about blockchain supply tracker.,U1672,user1183@gmail.com,gmail.com,80084,39732,2025-07-17T10:15:11Z,7,135,13,5,0,SG,JP,1984,12,1
C61,Wearable Health Patch,A tech innovation project about wearable health patch. guaranteed profit,U756,user5673@mailinator.com,mailinator.com,27254,4492,2025-05-16T10:15:11Z,7,36,30,1,1,CA,US,553,9,2
C62,EV Battery Monitor,A tech innovation project about ev battery monitor.,U2631,user2687@outlook.com,outlook.com,80392,0,2025-06-12T10:15:11Z,7,0,12,4,0,CA,SG,359,0,2
C63,AI Drone Navigation System,A tech innovation project about ai drone navigation system.,U425,user1658@mailinator.com,mailinator.com,71601,19029,2025-07-10T10:15:11Z,2,150,16,1,1,SG,SG,846,9,3
C64,Robotics Automation Arm,A tech innovation project about robotics automation arm.,U602,user6106@10minutemail.com,10minutemail.com,8448,2655,2025-04-30T10:15:11Z,0,98,28,3,1,IN,SG,325,6,2
C65,AI EdTech Assistant,A tech innovation project about ai edtech assistant.,U894,user7938@protonmail.com,protonmail.com,12687,3738,2025-07-10T10:15:11Z,8,5,12,2,1,CA,UK,1742,8,2
C66,IoT Smart Farming Kit,A tech innovation project about iot smart farming kit.,U2925,user1126@outlook.com,outlook.com,44126,10249,2025-06-23T10:15:11Z,7,106,16,1,0,IN,JP,212,1,2
C67,IoT Smart Farming Kit,A tech innovation project about iot smart farming kit.,U2732,user6881@yahoo.com,yahoo.com,57439,19054,2025-06-11T10:15:11Z,8,110,14,0,1,SG,US,674,6,1
C68,AI Drone Navigation System,A tech innovation project about ai drone navigation system.,U2595,user7326@yahoo.com,yahoo.com,57887,21768,2024-12-11T10:15:11Z,3,35,8,0,1,UK,US,1481,4,3
C69,Wearable Health Patch,A tech innovation project about wearable health patch.,U1938,user2326@protonmail.com,protonmail.com,89394,28836,2025-05-31T10:15:11Z,1,113,17,1,1,DE,SG,1845,12,2
C70,Low-Power Microcontroller,A tech innovation project about low-power microcontroller.,U2272,user1543@gmail.com,gmail.com,39664,0,2025-05-13T10:15:11Z,0,61,23,3,1,DE,DE,1826,2,2
C71,Low-Power Microcontroller,A tech innovation project about low-power microcontroller.,U561,user8987@protonmail.com,protonmail.com,45769,5030,2025-11-03T10:15:11Z,2,72,26,0,1,UK,JP,546,8,2
C72,AI EdTech Assistant,A tech innovation project about ai edtech assistant. urgent funding,U1578,user5287@yahoo.com,yahoo.com,40287,25176,2025-02-22T10:15:11Z,6,122,0,5,0,UK,DE,920,6,2
C73,AI EdTech Assistant,A tech innovation project about ai edtech assistant.,U2530,user6801@yahoo.com,yahoo.com,37535,13460,2025-06-05T10:15:11Z,0,122,20,0,0,JP,CA,334,12,3
C74,AI Drone Navigation System,A tech innovation project about ai drone navigation system.,U2328,user7409@gmail.com,gmail.com,40478,7669,2025-09-14T10:15:11Z,7,142,13,3,1,CA,US,1203,7,1
C75,AR Training Simulator,A tech innovation project about ar training simulator.,U1141,user6569@outlook.com,outlook.com,49844,20394,2025-04-28T10:15:11Z,5,35,19,2,1,US,DE,251,5,1
C76,IoT Smart Farming Kit,A tech innovation project about iot smart farming kit. guaranteed profit,U1171,user9022@protonmail.com,protonmail.com,61384,9712,2025-05-07T10:15:11Z,4,58,13,1,0,IN,IN,1366,1,1
C77,Robotics Automation Arm,A tech innovation project about robotics automation arm.,U736,user267@yahoo.com,yahoo.com,12176,2046,2025-02-14T10:15:11Z,1,90,19,5,1,DE,IN,889,2,2
C78,Blockchain Supply Tracker,A tech innovation project about blockchain supply tracker.,U975,user2938@protonmail.com,protonmail.com,77442,17883,2025-03-22T10:15:11Z,7,21,2,0,0,SG,UK,1162,2,2
C79,Robotics Automation Arm,A tech innovation project about robotics automation arm.,U1095,user4822@outlook.com,outlook.com,80422,26727,2025-09-13T10:15:11Z,7,0,7,3,1,US,UK,935,7,3
C80,AI EdTech Assistant,A tech innovation project about ai edtech assistant.,U2238,user5396@yahoo.com,yahoo.com,80925,31558,2025-02-11T10:15:11Z,1,2,20,1,0,IN,IN,676,3,1
C81,Sustainable Water Purifier,A tech innovation project about sustainable water purifier.,U2187,user5098@gmail.com,gmail.com,33973,18624,2025-10-07T10:15:11Z,0,76,1,4,1,CA,SG,598,4,2
C82,IoT Smart Farming Kit,A tech innovation project about iot smart farming kit.,U330,user808@tempmail.com,tempmail.com,70737,19759,2025-09-17T10:15:11Z,0,91,19,3,0,US,US,1886,6,2
C83,Low-Power Microcontroller,A tech innovation project about low-power microcontroller.,U667,user3107@protonmail.com,protonmail.com,6540,4754,2025-02-27T10:15:11Z,5,3,16,5,1,SG,UK,679,3,2
C84,Sustainable Water Purifier,A tech innovation project about sustainable water purifier. guaranteed profit,U475,user9573@outlook.com,outlook.com,40571,20506,2025-11-17T10:15:11Z,3,11,10,1,1,UK,UK,575,1,1
C85,Sustainable Water Purifier,A tech innovation project about sustainable water purifier.,U2880,user1963@gmail.com,gmail.com,27342,10940,2025-06-01T10:15:11Z,8,91,24,1,0,IN,SG,445,0,1
C86,Blockchain Supply Tracker,A tech innovation project about blockchain supply tracker. limited time offer,U1013,user7065@outlook.com,outlook.com,47350,7579,2025-11-30T10:15:11Z,5,136,0,0,0,JP,UK,237,4,2
C87,Sustainable Water Purifier,A tech innovation project about sustainable water purifier.,U2976,user1274@yahoo.com,yahoo.com,66953,1014,2025-10-16T10:15:11Z,1,31,7,5,0,SG,DE,151,4,2
C88,Wearable Health Patch,A tech innovation project about wearable health patch.,U2640,user2257@yahoo.com,yahoo.com,80448,20987,2025-04-04T10:15:11Z,3,84,25,3,1,CA,DE,1882,7,3
C89,IoT Smart Farming Kit,A tech innovation project about iot smart farming kit.,U152,user3484@gmail.com,gmail.com,24471,5080,2024-12-24T10:15:11Z,3,14,6,5,0,CA,SG,394,3,1
C90,IoT Smart Farming Kit,A tech innovation project about iot smart farming kit.,U1562,user3506@protonmail.com,protonmail.com,71115,1655,2025-11-02T10:15:11Z,6,64,28,4,1,DE,IN,1865,9,2
C91,Sustainable Water Purifier,A tech innovation project about sustainable water purifier.,U1623,user9193@protonmail.com,protonmail.com,20310,7397,2025-12-09T10:15:11Z,4,31,16,1,0,JP,DE,506,4,2
C92,Robotics Automation Arm,A tech innovation project about robotics automation arm.,U542,user9365@yahoo.com,yahoo.com,54787,19022,2025-07-23T10:15:11Z,0,28,25,0,0,CA,SG,794,11,3
C93,Robotics Automation Arm,A tech innovation project about robotics automation arm. wire transfer,U1161,user4734@outlook.com,outlook.com,28360,0,2025-04-29T10:15:11Z,8,34,9,3,0,SG,JP,824,9,3
C94,Wearable Health Patch,A tech innovation project about wearable health patch.,U2795,user9274@protonmail.com,protonmail.com,82575,11481,2025-04-16T10:15:11Z,6,66,4,5,1,DE,SG,1829,0,2
C95,Low-Power Microcontroller,A tech innovation project about low-power microcontroller.,U1641,user9653@gmail.com,gmail.com,70622,2057,2025-02-03T10:15:11Z,3,58,21,4,0,US,CA,712,5,2
C96,EV Battery Monitor,A tech innovation project about ev battery monitor.,U2275,user1661@protonmail.com,protonmail.com,13093,5258,2025-11-07T10:15:11Z,2,146,23,0,0,DE,UK,984,7,3
C97,AI EdTech Assistant,A tech innovation project about ai edtech assistant.,U1045,user8021@outlook.com,outlook.com,64447,33035,2025-02-21T10:15:11Z,7,28,18,0,1,UK,UK,920,4,3
C98,Wearable Health Patch,A tech innovation project about wearable health patch.,U616,user771@outlook.com,outlook.com,22476,3869,2025-08-27T10:15:11Z,1,107,20,4,1,IN,CA,744,2,2
C99,AR Training Simulator,A tech innovation project about ar training simulator.,U578,user6314@yahoo.com,yahoo.com,8261,433,2025-01-31T10:15:11Z,6,90,24,0,0,SG,CA,292,11,3
C100,AI EdTech Assistant,A tech innovation project about ai edtech assistant.,U50,user589@10minutemail.com,10minutemail.com,35024,1113,2025-11-27T10:15:11Z,5,38,21,3,1,SG,IN,500,0,2
C101,IoT Smart Farming Kit,A tech innovation project about iot smart farming kit.,U146,user182@gmail.com,gmail.com,88145,0,2025-07-05T10:15:11Z,2,117,0,2,1,CA,JP,1666,7,2
C102,Sustainable Water Purifier,A tech innovation project about sustainable water purifier.,U2320,user1032@outlook.com,outlook.com,9808,2124,2025-11-01T10:15:11Z,3,141,12,5,1,US,JP,1676,8,3
C103,Blockchain Supply Tracker,A tech innovation project about blockchain supply tracker.,U133,user3933@outlook.com,outlook.com,32599,17311,2025-09-25T10:15:11Z,0,114,15,4,0,CA,JP,1729,12,3
C104,Robotics Automation Arm,A tech innovation project about robotics automation arm.,U2852,user4210@gmail.com,gmail.com,42168,9967,2025-04-20T10:15:11Z,4,49,13,3,1,SG,SG,714,5,3
C105,Robotics Automation Arm,A tech innovation project about robotics automation arm.,U194,user7906@yahoo.com,yahoo.com,80697,12883,2025-03-09T10:15:11Z,3,42,28,2,1,DE,UK,1553,4,2
C106,Low-Power Microcontroller,A tech innovation project about low-power microcontroller.,U2024,user1395@outlook.com,outlook.com,76047,30575,2025-03-22T10:15:11Z,4,15,1,4,1,SG,CA,471,3,1
C107,AR Training Simulator,A tech innovation project about ar training simulator.,U103,user4871@yahoo.com,yahoo.com,80160,11707,2025-04-21T10:15:11Z,1,12,24,4,1,JP,UK,354,5,2
C108,AI EdTech Assistant,A tech innovation project about ai edtech assistant. limited time offer,U1325,user230@gmail.com,gmail.com,15745,0,2025-09-30T10:15:11Z,1,48,4,1,1,CA,JP,31,1,3
C109,Sustainable Water Purifier,A tech innovation project about sustainable water purifier.,U2277,user3211@outlook.com,outlook.com,30524,0,2025-08-07T10:15:11Z,4,148,13,3,1,US,JP,65,5,3
C110,AI EdTech Assistant,A tech innovation project about ai edtech assistant.,U1390,user5370@gmail.com,gmail.com,57471,21889,2025-06-26T10:15:11Z,6,43,16,0,0,IN,CA,1381,3,3
C111,AI EdTech Assistant,A tech innovation project about ai edtech assistant.,U793,user1050@outlook.com,outlook.com,77531,18434,2025-03-06T10:15:11Z,2,121,19,4,1,US,DE,501,3,1
C112,Wearable Health Patch,A tech innovation project about wearable health patch.,U1276,user7509@outlook.com,outlook.com,88816,32056,2025-09-26T10:15:11Z,7,20,18,4,1,CA,UK,38,10,3
C113,EV Battery Monitor,A tech innovation project about ev battery monitor.,U1871,user6663@gmail.com,gmail.com,32935,19247,2025-06-01T10:15:11Z,1,15,27,0,0,JP,IN,1772,12,3
C114,AI Drone Navigation System,A tech innovation project about ai drone navigation system. limited time offer,U84,user899@yahoo.com,yahoo.com,7572,1187,2025-01-20T10:15:11Z,6,132,6,5,1,SG,IN,1810,2,3
C115,Robotics Automation Arm,A tech innovation project about robotics automation arm. act now,U2881,user8320@outlook.com,outlook.com,31938,10595,2025-11-03T10:15:11Z,1,28,2,1,0,CA,CA,1069,2,3
C116,EV Battery Monitor,A tech innovation project about ev battery monitor.,U1633,user9255@gmail.com,gmail.com,37916,24851,2025-05-02T10:15:11Z,7,111,0,0,0,IN,US,1321,5,3
C117,EV Battery Monitor,A tech innovation project about ev battery monitor.,U2199,user8347@yahoo.com,yahoo.com,25260,10443,2025-10-07T10:15:11Z,5,149,5,2,0,US,UK,977,6,2
C118,Wearable Health Patch,A tech innovation project about wearable health patch.,U231,user204@yahoo.com,yahoo.com,57020,16128,2025-10-11T10:15:11Z,4,134,1,0,1,SG,UK,1652,7,2
C119,Blockchain Supply Tracker,A tech innovation project about blockchain supply tracker.,U529,user1934@gmail.com,gmail.com,56548,13163,2025-04-28T10:15:11Z,4,110,28,4,1,UK,CA,1516,3,2
C120,Blockchain Supply Tracker,A tech innovation project about blockchain supply tracker.,U2824,user1148@gmail.com,gmail.com,54272,11142,2025-05-22T10:15:11Z,0,102,23,5,0,UK,SG,662,11,2
C121,IoT Smart Farming Kit,A tech innovation project about iot smart farming kit.,U1069,user9503@protonmail.com,protonmail.com,42344,0,2025-10-06T10:15:11Z,6,0,24,5,0,UK,CA,1713,7,1
C122,Low-Power Microcontroller,A tech innovation project about low-power microcontroller.,U2059,user2950@gmail.com,gmail.com,50841,0,2025-06-17T10:15:11Z,3,100,9,3,1,DE,JP,529,11,1
C123,Robotics Automation Arm,A tech innovation project about robotics automation arm.,U646,user7761@gmail.com,gmail.com,75705,3038,2025-05-16T10:15:11Z,3,0,18,4,0,US,JP,412,6,3
C124,IoT Smart Farming Kit,A tech innovation project about iot smart farming kit.,U237,user8106@gmail.com,gmail.com,52010,14191,2025-06-01T10:15:11Z,7,75,10,1,0,US,JP,810,10,1
C125,Low-Power Microcontroller,A tech innovation project about low-power microcontroller.,U2370,user3936@yahoo.com,yahoo.com,46001,0,2025-01-13T10:15:11Z,0,72,19,5,1,CA,SG,393,3,2
C126,AI Drone Navigation System,A tech innovation project about ai drone navigation system.,U421,user6745@outlook.com,outlook.com,7299,3129,2025-08-28T10:15:11Z,7,47,13,2,1,UK,US,472,5,1
C127,Sustainable Water Purifier,A tech innovation project about sustainable water purifier.,U1988,user4465@yahoo.com,yahoo.com,60122,6786,2025-10-20T10:15:11Z,6,59,9,3,1,US,DE,281,3,1
C128,Wearable Health Patch,A tech innovation project about wearable health patch.,U1980,user5571@outlook.com,outlook.com,52349,5090,2025-11-18T10:15:11Z,0,110,9,5,1,JP,JP,1756,7,2
C129,AI EdTech Assistant,A tech innovation project about ai edtech assistant.,U2738,user6170@protonmail.com,protonmail.com,53876,0,2025-11-15T10:15:11Z,3,35,2,3,1,IN,SG,1110,9,1
C130,Robotics Automation Arm,A tech innovation project about robotics automation arm.,U332,user5189@gmail.com,gmail.com,70420,11937,2025-04-11T10:15:11Z,6,15,25,1,0,SG,IN,397,3,3
C131,Blockchain Supply Tracker,A tech innovation project about blockchain supply tracker.,U1483,user2527@gmail.com,gmail.com,66269,4932,2025-07-30T10:15:11Z,7,105,6,4,0,JP,IN,1590,2,1
C132,AI Drone Navigation System,A tech innovation project about ai drone navigation system.,U1127,user3644@gmail.com,gmail.com,33914,8496,2024-12-19T10:15:11Z,5,114,10,5,0,CA,IN,787,12,1
C133,Robotics Automation Arm,A tech innovation project about robotics automation arm. urgent funding,U2491,user1410@yahoo.com,yahoo.com,63532,0,2025-09-06T10:15:11Z,6,119,28,0,1,DE,JP,1018,5,2
C134,Wearable Health Patch,A tech innovation project about wearable health patch.,U941,user2477@outlook.com,outlook.com,19648,3678,2025-08-10T10:15:11Z,0,39,16,3,0,CA,DE,1875,7,2
C135,Low-Power Microcontroller,A tech innovation project about low-power microcontroller.,U670,user3106@outlook.com,outlook.com,74970,30304,2025-02-06T10:15:11Z,5,3,20,3,1,SG,JP,525,0,1
C136,AR Training Simulator,A tech innovation project about ar training simulator.,U2715,user1867@protonmail.com,protonmail.com,43974,0,2025-04-23T10:15:11Z,7,132,1,5,1,IN,JP,702,12,2
C137,Blockchain Supply Tracker,A tech innovation project about blockchain supply tracker.,U2516,user136@yahoo.com,yahoo.com,52164,5043,2025-02-05T10:15:11Z,6,122,29,0,0,CA,DE,1221,0,1
C138,AI Drone Navigation System,A tech innovation project about ai drone navigation system.,U1638,user8785@outlook.com,outlook.com,77545,19043,2025-05-09T10:15:11Z,6,108,23,2,1,IN,JP,415,2,2
C139,IoT Smart Farming Kit,A tech innovation project about iot smart farming kit.,U1380,user9961@yahoo.com,yahoo.com,77702,18180,2025-04-07T10:15:11Z,7,15,18,1,0,DE,CA,155,2,1
C140,AR Training Simulator,A tech innovation project about ar training simulator.,U2901,user7077@protonmail.com,protonmail.com,61500,38732,2025-04-09T10:15:11Z,0,31,5,1,1,CA,IN,369,12,1
C141,Blockchain Supply Tracker,A tech innovation project about blockchain supply tracker.,U1494,user7741@protonmail.com,protonmail.com,76244,16073,2025-09-21T10:15:11Z,7,95,22,4,0,DE,IN,34,2,1
C142,Blockchain Supply Tracker,A tech innovation project about blockchain supply tracker.,U1412,user2761@outlook.com,outlook.com,25491,14633,2025-11-01T10:15:11Z,0,122,10,2,0,UK,UK,304,5,3
