campaign_id,title,description,creator_id,creator_email,email_domain,goal,amount_raised,created_at,updates_count,donations_count,refunds_count,images_count,videos_count,payout_country,country,user_account_age_days,user_total_campaigns,payment_sources_count,is_fraud
C000027,Smart Home Energy Optimizer,A tech innovation project focused on smart home energy optimizer aiming to improve real-world performance.,U005027,user949@yahoo.com,yahoo.com,19160,6599,2025-11-15T10:34:38Z,0,15,1,1,0,UK,CA,2494,0,1,0
C000028,Open-Source Robotics Platform,A tech innovation project focused on open-source robotics platform aiming to improve real-world performance. guaranteed profit,U002784,user2281@protonmail.com,protonmail.com,38606,10440,2025-12-05T10:34:38Z,2,21,11,0,0,UK,US,743,1,1,1
C000029,Affordable Prosthetic Robotics,A tech innovation project focused on affordable prosthetic robotics aiming to improve real-world performance.,U003440,user19538@hotmail.com,hotmail.com,35643,9618,2024-12-27T10:34:38Z,2,4,0,5,0,IN,US,644,2,2,0
C000030,Next-Gen EV Battery Health Monitor,A tech innovation project focused on next-gen ev battery health monitor aiming to improve real-world performance.,U000408,user13572@protonmail.com,protonmail.com,41192,12576,2025-03-08T10:34:38Z,3,33,2,5,0,CA,DE,1814,1,2,0
C000031,Low-Power Microcontroller Board v2,A tech innovation project focused on low-power microcontroller board v2 aiming to improve real-world performance.,U003522,user1489@yahoo.com,yahoo.com,35986,3408,2025-02-24T10:34:38Z,2,34,1,2,0,DE,JP,2777,1,3,0
C000032,Sustainable Water Purification Device,A tech innovation project focused on sustainable water purification device aiming to improve real-world performance.,U001675,user254@gmail.com,gmail.com,20121,2809,2025-05-09T10:34:38Z,5,45,3,1,0,ZA,JP,562,2,2,0
C000033,Blockchain Supply-Chain Tracker,A tech innovation project focused on blockchain supply-chain tracker aiming to improve real-world performance. urgent funding,U005765,user13012@gmail.com,gmail.com,3460,1994,2024-07-17T10:34:38Z,6,25,2,4,0,US,JP,2288,0,3,0
C000034,Privacy-preserving ML Toolkit,A tech innovation project focused on privacy-preserving ml toolkit aiming to improve real-world performance.,U004717,user13273@gmail.com,gmail.com,2000,0,2024-05-03T10:34:38Z,5,22,2,2,0,US,SG,1656,1,1,0
C000035,Open-Source Robotics Platform,A tech innovation project focused on open-source robotics platform aiming to improve real-world performance.,U003770,user13122@hotmail.com,hotmail.com,51556,20795,2025-09-12T10:34:38Z,3,34,2,0,0,AU,IN,1788,2,3,0
C000036,Blockchain Supply-Chain Tracker,A tech innovation project focused on blockchain supply-chain tracker aiming to improve real-world performance. wire transfer,U002782,user16711@hotmail.com,hotmail.com,29033,7324,2025-01-04T10:34:38Z,0,26,2,0,1,UK,SG,688,3,1,1
C000037,AI-Driven EdTech Learning Assistant,A tech innovation project focused on ai-driven edtech learning assistant aiming to improve real-world performance.,U002097,user5805@gmail.com,gmail.com,25978,16734,2025-06-17T10:34:38Z,1,5,0,1,1,ZA,ZA,2467,1,1,0
C000038,Autonomous Inspection Rover,A tech innovation project focused on autonomous inspection rover aiming to improve real-world performance.,U003678,user4947@yahoo.com,yahoo.com,19179,0,2024-02-22T10:34:38Z,0,1,0,4,0,ZA,IN,2602,0,1,0
C000039,AR Training Simulator for Engineers,A tech innovation project focused on ar training simulator for engineers aiming to improve real-world performance.,U006524,user14809@protonmail.com,protonmail.com,2000,455,2024-04-15T10:34:38Z,2,31,2,0,0,US,US,230,4,1,0
C000040,Next-Gen EV Battery Health Monitor,A tech innovation project focused on next-gen ev battery health monitor aiming to improve real-world performance.,U005282,user1345@hotmail.com,hotmail.com,29656,13993,2024-03-22T10:34:38Z,0,23,3,1,0,ZA,DE,2433,2,1,0
C000041,IoT Smart Farming Automation Kit,A tech innovation project focused on iot smart farming automation kit aiming to improve real-world performance.,U001236,user16534@gmail.com,gmail.com,59407,16138,2024-09-06T10:34:38Z,2,27,1,1,0,UK,US,423,3,2,0
C000042,Edge AI for Wildlife Monitoring,A tech innovation project focused on edge ai for wildlife monitoring aiming to improve real-world performance.,U003600,user12695@yahoo.com,yahoo.com,32446,15949,2024-06-24T10:34:38Z,3,20,2,2,1,JP,SG,2497,3,1,0
C000043,Portable Edge AI Inference Module,A tech innovation project focused on portable edge ai inference module aiming to improve real-world performance. limited time offer,U005169,user8258@yahoo.com,yahoo.com,25892,11047,2025-10-05T10:34:38Z,2,49,30,4,1,UK,SG,1350,2,1,1
C000044,Energy Harvesting IoT Sensor,A tech innovation project focused on energy harvesting iot sensor aiming to improve real-world performance.,U002542,user33875@mailinator.com,mailinator.com,32256,1670,2025-08-01T10:34:38Z,3,27,0,1,0,SG,UK,2437,2,1,1
C000045,Open-Source Robotics Platform,A tech innovation project focused on open-source robotics platform aiming to improve real-world performance.,U000150,user6292@protonmail.com,protonmail.com,25915,4199,2025-01-29T10:34:38Z,3,15,0,0,0,DE,UK,738,2,1,0
C000046,Low-Power Microcontroller Board v2,A tech innovation project focused on low-power microcontroller board v2 aiming to improve real-world performance.,U006457,user11036@gmail.com,gmail.com,4114,1162,2024-07-10T10:34:38Z,3,4,0,5,0,UK,JP,2210,2,1,0
C000047,Mixed Reality Collaboration Tool,A tech innovation project focused on mixed reality collaboration tool aiming to improve real-world performance.,U005676,user14556@outlook.com,outlook.com,35378,10826,2025-06-25T10:34:38Z,2,53,1,4,0,CA,ZA,2953,1,2,0
C000048,Urban Vertical Farming Automation,A tech innovation project focused on urban vertical farming automation aiming to improve real-world performance.,U007911,user15129@protonmail.com,protonmail.com,2000,527,2025-05-27T10:34:38Z,1,6,0,1,0,CA,JP,1506,2,1,0
C000049,AI-Driven EdTech Learning Assistant,A tech innovation project focused on ai-driven edtech learning assistant aiming to improve real-world performance.,U001328,user12164@protonmail.com,protonmail.com,52416,18188,2024-04-01T10:34:38Z,1,6,0,1,0,AU,IN,566,1,1,0
C000050,Sustainable Water Purification Device,A tech innovation project focused on sustainable water purification device aiming to improve real-world performance.,U001022,user14336@outlook.com,outlook.com,2000,277,2025-09-17T10:34:38Z,2,16,1,0,0,IN,DE,656,0,1,0
C000051,AI-Powered Drone Navigation System,A tech innovation project focused on ai-powered drone navigation system aiming to improve real-world performance. urgent funding,U007623,user2675@protonmail.com,protonmail.com,29868,7196,2024-10-13T10:34:38Z,0,24,2,5,0,SG,DE,218,4,2,0
C000052,Portable Edge AI Inference Module,A tech innovation project focused on portable edge ai inference module aiming to improve real-world performance.,U005325,user4548@protonmail.com,protonmail.com,23471,3482,2025-07-15T10:34:38Z,2,10,0,1,1,ZA,ZA,563,1,1,0
C000053,AR Training Simulator for Engineers,A tech innovation project focused on ar training simulator for engineers aiming to improve real-world performance.,U000156,user13870@hotmail.com,hotmail.com,21436,7198,2025-05-05T10:34:38Z,2,64,2,4,0,IN,CA,612,0,1,0
C000054,Privacy-preserving ML Toolkit,A tech innovation project focused on privacy-preserving ml toolkit aiming to improve real-world performance. urgent funding,U001954,user24705@10minutemail.com,10minutemail.com,60711,41294,2024-02-26T10:34:38Z,1,0,0,4,0,AU,US,2551,2,2,1
C000055,Open-Source Robotics Platform,A tech innovation project focused on open-source robotics platform aiming to improve real-world performance.,U005037,user17154@gmail.com,gmail.com,26558,5895,2025-04-09T10:34:38Z,2,0,0,5,0,SG,IN,2337,2,2,0
C000056,Edge AI for Wildlife Monitoring,A tech innovation project focused on edge ai for wildlife monitoring aiming to improve real-world performance.,U006443,user12233@protonmail.com,protonmail.com,35589,7141,2024-05-23T10:34:38Z,3,30,3,0,0,CA,US,83,2,1,0
C000057,Low-Power Microcontroller Board v2,A tech innovation project focused on low-power microcontroller board v2 aiming to improve real-world performance.,U001976,user11545@gmail.com,gmail.com,29241,11367,2023-10-13T10:34:38Z,0,19,0,3,0,AU,SG,2383,5,1,0
C000058,Affordable Prosthetic Robotics,A tech innovation project focused on affordable prosthetic robotics aiming to improve real-world performance.,U006383,user14998@gmail.com,gmail.com,35240,14076,2023-12-30T10:34:38Z,0,6,0,1,0,US,CA,1960,2,1,0
C000059,IoT Smart Farming Automation Kit,A tech innovation project focused on iot smart farming automation kit aiming to improve real-world performance. urgent funding required.,U007257,user15513@hotmail.com,hotmail.com,75792,282,2025-01-22T10:34:38Z,3,50,0,2,0,CA,US,1,1,1,1
C000060,Open-Source Robotics Platform,A tech innovation project focused on open-source robotics platform aiming to improve real-world performance.,U002344,user12060@gmail.com,gmail.com,58782,16500,2023-10-04T10:34:38Z,3,35,3,3,0,JP,JP,195,1,3,0
C000061,Portable Edge AI Inference Module,A tech innovation project focused on portable edge ai inference module aiming to improve real-world performance.,U003168,user8740@hotmail.com,hotmail.com,46689,17323,2025-06-03T10:34:38Z,1,6,0,3,0,IN,JP,2032,0,3,0
C000062,Robotics Arm for Precision Tasks,A tech innovation project focused on robotics arm for precision tasks aiming to improve real-world performance.,U006737,user10044@yahoo.com,yahoo.com,16534,4299,2024-06-01T10:34:38Z,2,42,2,0,0,ZA,JP,1203,0,1,0
C000063,IoT Smart Farming Automation Kit,A tech innovation project focused on iot smart farming automation kit aiming to improve real-world performance.,U003663,user2459@gmail.com,gmail.com,2000,0,2023-11-28T10:34:38Z,2,10,0,3,0,JP,SG,1444,3,2,0
C000064,AI-Powered Drone Navigation System,A tech innovation project focused on ai-powered drone navigation system aiming to improve real-world performance.,U001311,user2204@outlook.com,outlook.com,30633,6175,2025-07-18T10:34:38Z,0,12,1,0,0,DE,SG,2488,1,1,0
C000065,Mixed Reality Collaboration Tool,A tech innovation project focused on mixed reality collaboration tool aiming to improve real-world performance.,U000266,user2520@protonmail.com,protonmail.com,14791,6703,2025-07-07T10:34:38Z,2,22,0,2,0,UK,AU,2781,2,1,0
C000066,Blockchain Supply-Chain Tracker,A tech innovation project focused on blockchain supply-chain tracker aiming to improve real-world performance.,U002284,user18405@protonmail.com,protonmail.com,45997,1749,2025-08-17T10:34:38Z,3,20,0,5,0,IN,CA,106,5,1,0
C000067,Mixed Reality Collaboration Tool,A tech innovation project focused on mixed reality collaboration tool aiming to improve real-world performance.,U001758,user4448@gmail.com,gmail.com,11130,1532,2025-02-22T10:34:38Z,2,39,7,5,0,IN,ZA,2842,1,2,0
C000068,Portable Edge AI Inference Module,A tech innovation project focused on portable edge ai inference module aiming to improve real-world performance.,U000720,user9829@yahoo.com,yahoo.com,28106,8676,2024-01-28T10:34:38Z,3,16,0,1,0,UK,UK,1423,1,2,0
C000069,AI-Driven EdTech Learning Assistant,A tech innovation project focused on ai-driven edtech learning assistant aiming to improve real-world performance.,U000995,user18753@hotmail.com,hotmail.com,46333,5995,2025-07-22T10:34:38Z,2,19,2,1,0,SG,ZA,969,0,1,0
C000070,Next-Gen EV Battery Health Monitor,A tech innovation project focused on next-gen ev battery health monitor aiming to improve real-world performance.,U005014,user17226@protonmail.com,protonmail.com,7432,4741,2025-10-05T10:34:38Z,1,31,3,4,0,JP,JP,1266,0,3,0
C000071,Portable Edge AI Inference Module,A tech innovation project focused on portable edge ai inference module aiming to improve real-world performance.,U007966,user4206@yahoo.com,yahoo.com,28525,2107,2024-02-23T10:34:38Z,2,3,0,4,0,AU,UK,303,1,2,0
C000072,IoT Smart Farming Automation Kit,A tech innovation project focused on iot smart farming automation kit aiming to improve real-world performance.,U004120,user7389@yahoo.com,yahoo.com,34484,13038,2025-08-06T10:34:38Z,3,18,1,1,1,SG,AU,2122,1,1,0
C000073,AI-Driven EdTech Learning Assistant,A tech innovation project focused on ai-driven edtech learning assistant aiming to improve real-world performance.,U002053,user17482@hotmail.com,hotmail.com,2000,709,2024-03-01T10:34:38Z,1,48,2,5,0,IN,AU,2256,0,1,0
C000074,Wearable Health Analytics Patch,A tech innovation project focused on wearable health analytics patch aiming to improve real-world performance.,U004757,user18469@yahoo.com,yahoo.com,9091,2759,2025-06-19T10:34:38Z,2,27,1,0,0,US,US,2698,1,1,0
C000075,Autonomous Inspection Rover,A tech innovation project focused on autonomous inspection rover aiming to improve real-world performance.,U006317,user993@hotmail.com,hotmail.com,24370,13860,2025-03-15T10:34:38Z,2,27,1,1,1,ZA,AU,2667,0,1,0
C000076,Blockchain Supply-Chain Tracker,A tech innovation project focused on blockchain supply-chain tracker aiming to improve real-world performance.,U003957,user5180@gmail.com,gmail.com,34586,12778,2024-01-10T10:34:38Z,1,40,8,2,0,ZA,JP,1663,2,2,0
C000077,Wearable Health Analytics Patch,A tech innovation project focused on wearable health analytics patch aiming to improve real-world performance.,U004970,user13066@yahoo.com,yahoo.com,39732,10890,2025-01-25T10:34:38Z,0,12,3,5,0,UK,SG,2942,0,1,0
C000078,Affordable Prosthetic Robotics,A tech innovation project focused on affordable prosthetic robotics aiming to improve real-world performance.,U001981,user9510@gmail.com,gmail.com,43956,28324,2025-08-08T10:34:38Z,2,23,2,1,0,JP,JP,1095,1,1,0
C000079,Portable Edge AI Inference Module,A tech innovation project focused on portable edge ai inference module aiming to improve real-world performance.,U001309,user16867@protonmail.com,protonmail.com,51045,14567,2024-04-29T10:34:38Z,3,17,3,5,0,ZA,ZA,2953,0,0,0
C000080,Energy Harvesting IoT Sensor,A tech innovation project focused on energy harvesting iot sensor aiming to improve real-world performance.,U000738,user1595@yahoo.com,yahoo.com,44178,31701,2024-07-12T10:34:38Z,1,1,0,3,0,US,CA,1872,2,1,0
C000081,Urban Vertical Farming Automation,A tech innovation project focused on urban vertical farming automation aiming to improve real-world performance.,U005360,user8667@outlook.com,outlook.com,6889,419,2025-02-22T10:34:38Z,1,33,1,1,1,SG,JP,2198,2,3,0
C000082,Smart Home Energy Optimizer,A tech innovation project focused on smart home energy optimizer aiming to improve real-world performance.,U004672,user14758@hotmail.com,hotmail.com,3266,959,2025-05-26T10:34:38Z,3,38,2,2,0,AU,CA,1484,1,1,0
C000083,Low-Power Microcontroller Board v2,A tech innovation project focused on low-power microcontroller board v2 aiming to improve real-world performance.,U005006,user18280@yahoo.com,yahoo.com,13783,2067,2025-08-02T10:34:38Z,2,5,0,5,0,SG,UK,396,5,2,0
C000084,IoT Smart Farming Automation Kit,A tech innovation project focused on iot smart farming automation kit aiming to improve real-world performance.,U004097,user17018@protonmail.com,protonmail.com,3875,875,2025-10-26T10:34:38Z,1,43,1,1,1,ZA,UK,159,4,1,0
C000085,Mixed Reality Collaboration Tool,A tech innovation project focused on mixed reality collaboration tool aiming to improve real-world performance.,U002687,user19456@yahoo.com,yahoo.com,2000,236,2025-01-19T10:34:38Z,2,32,0,0,0,SG,AU,665,0,2,0
C000086,Autonomous Inspection Rover,A tech innovation project focused on autonomous inspection rover aiming to improve real-world performance.,U005806,user13650@gmail.com,gmail.com,5905,2440,2025-02-08T10:34:38Z,4,15,1,3,0,CA,US,1945,6,2,0
C000087,Autonomous Inspection Rover,A tech innovation project focused on autonomous inspection rover aiming to improve real-world performance.,U005371,user17179@outlook.com,outlook.com,21991,6078,2024-04-29T10:34:38Z,2,25,1,4,0,JP,UK,932,3,2,0
C000088,Low-Power Microcontroller Board v2,A tech innovation project focused on low-power microcontroller board v2 aiming to improve real-world performance.,U004691,user6682@protonmail.com,protonmail.com,32207,16719,2025-05-30T10:34:38Z,0,20,3,3,0,JP,AU,77,1,2,0
C000089,IoT Smart Farming Automation Kit,A tech innovation project focused on iot smart farming automation kit aiming to improve real-world performance.,U007151,user17219@protonmail.com,protonmail.com,34335,4722,2023-12-20T10:34:38Z,2,9,0,2,0,JP,SG,565,5,1,0
C000090,Portable Edge AI Inference Module,A tech innovation project focused on portable edge ai inference module aiming to improve real-world performance.,U004368,user19991@yahoo.com,yahoo.com,58242,26476,2024-05-31T10:34:38Z,1,3,0,1,0,ZA,DE,1451,3,2,0
C000091,Blockchain Supply-Chain Tracker,A tech innovation project focused on blockchain supply-chain tracker aiming to improve real-world performance. claim your reward,U002446,user29431@tempmail.com,tempmail.com,6617,2497,2025-02-10T10:34:38Z,0,43,2,3,0,ZA,SG,1183,6,1,1
C000092,Energy Harvesting IoT Sensor,A tech innovation project focused on energy harvesting iot sensor aiming to improve real-world performance.,U004450,user1379@yahoo.com,yahoo.com,48589,20387,2024-11-02T10:34:38Z,2,36,2,3,0,CA,IN,1413,2,2,0
C000093,Urban Vertical Farming Automation,A tech innovation project focused on urban vertical farming automation aiming to improve real-world performance.,U002101,user8901@hotmail.com,hotmail.com,33278,11958,2025-05-06T10:34:38Z,1,46,1,0,0,UK,IN,827,2,1,0
C000094,IoT Smart Farming Automation Kit,A tech innovation project focused on iot smart farming automation kit aiming to improve real-world performance.,U001987,user13544@gmail.com,gmail.com,33845,11170,2024-01-26T10:34:38Z,2,9,1,4,1,SG,ZA,2175,0,1,0
C000095,Smart Home Energy Optimizer,A tech innovation project focused on smart home energy optimizer aiming to improve real-world performance.,U000043,user15646@protonmail.com,protonmail.com,69501,11171,2025-07-03T10:34:38Z,4,9,0,0,0,DE,CA,1666,1,1,0
C000096,Next-Gen EV Battery Health Monitor,A tech innovation project focused on next-gen ev battery health monitor aiming to improve real-world performance.,U007438,user5737@gmail.com,gmail.com,24141,3386,2024-02-13T10:34:38Z,2,13,1,5,1,ZA,UK,2351,0,1,0
C000097,Urban Vertical Farming Automation,A tech innovation project focused on urban vertical farming automation aiming to improve real-world performance. urgent funding required.,U006455,user10979@mailinator.com,mailinator.com,117739,495,2025-06-04T10:34:38Z,3,49,0,5,0,CA,ZA,4,4,2,1
C000098,Urban Vertical Farming Automation,A tech innovation project focused on urban vertical farming automation aiming to improve real-world performance.,U004296,user10836@gmail.com,gmail.com,52426,33072,2025-07-27T10:34:38Z,3,9,0,3,0,UK,ZA,2065,1,1,0
C000099,Portable Edge AI Inference Module,A tech innovation project focused on portable edge ai inference module aiming to improve real-world performance.,U000116,user13288@hotmail.com,hotmail.com,13274,2162,2025-02-12T10:34:38Z,3,28,2,1,0,JP,AU,2325,2,1,0
C000100,Robotics Arm for Precision Tasks,A tech innovation project focused on robotics arm for precision tasks aiming to improve real-world performance.,U000782,user12569@yahoo.com,yahoo.com,14673,3204,2025-07-21T10:34:38Z,1,3,0,3,0,DE,ZA,1955,2,2,0
C000101,Autonomous Inspection Rover,A tech innovation project focused on autonomous inspection rover aiming to improve real-world performance.,U002474,user2036@outlook.com,outlook.com,49919,19285,2023-12-02T10:34:38Z,3,4,0,3,1,IN,ZA,2346,3,1,0
C000102,Sustainable Water Purification Device,A tech innovation project focused on sustainable water purification device aiming to improve real-world performance.,U004117,user7237@yahoo.com,yahoo.com,26379,13605,2024-01-05T10:34:38Z,1,49,3,5,0,DE,UK,480,2,1,0
C000103,Open-Source Robotics Platform,A tech innovation project focused on open-source robotics platform aiming to improve real-world performance.,U004963,user7157@hotmail.com,hotmail.com,21401,2085,2024-10-12T10:34:38Z,3,18,0,2,0,DE,IN,2875,3,3,0
C000104,Next-Gen EV Battery Health Monitor,A tech innovation project focused on next-gen ev battery health monitor aiming to improve real-world performance.,U002964,user6625@hotmail.com,hotmail.com,44314,0,2024-05-13T10:34:38Z,0,8,0,1,1,AU,UK,459,2,1,0
C000105,Low-Power Microcontroller Board v2,A tech innovation project focused on low-power microcontroller board v2 aiming to improve real-world performance.,U003620,user14598@hotmail.com,hotmail.com,35579,9632,2024-01-15T10:34:38Z,1,50,4,5,0,US,ZA,841,1,1,0
C000106,IoT Smart Farming Automation Kit,A tech innovation project focused on iot smart farming automation kit aiming to improve real-world performance.,U004620,user12975@gmail.com,gmail.com,2000,517,2024-05-18T10:34:38Z,1,2,0,5,0,CA,US,1893,1,1,0
C000107,Privacy-preserving ML Toolkit,A tech innovation project focused on privacy-preserving ml toolkit aiming to improve real-world performance.,U000372,user15469@gmail.com,gmail.com,55883,21735,2024-12-24T10:34:38Z,2,16,0,2,1,UK,CA,2868,2,0,1
C000108,Privacy-preserving ML Toolkit,A tech innovation project focused on privacy-preserving ml toolkit aiming to improve real-world performance.,U005975,user12310@protonmail.com,protonmail.com,32202,14473,2024-11-23T10:34:38Z,2,10,0,4,0,IN,AU,1566,2,2,0
C000109,Robotics Arm for Precision Tasks,A tech innovation project focused on robotics arm for precision tasks aiming to improve real-world performance.,U000972,user114@outlook.com,outlook.com,24444,14925,2024-06-09T10:34:38Z,3,19,1,5,0,US,CA,1609,2,2,0
C000110,Smart Home Energy Optimizer,A tech innovation project focused on smart home energy optimizer aiming to improve real-world performance.,U003475,user6177@yahoo.com,yahoo.com,33086,7889,2024-11-18T10:34:38Z,5,23,1,5,1,IN,US,940,4,1,0
C000111,AI-Powered Drone Navigation System,A tech innovation project focused on ai-powered drone navigation system aiming to improve real-world performance.,U006276,user19589@protonmail.com,protonmail.com,2000,919,2025-04-09T10:34:38Z,3,70,2,2,1,US,DE,844,3,1,0
C000112,Smart Home Energy Optimizer,A tech innovation project focused on smart home energy optimizer aiming to improve real-world performance.,U001920,user18878@outlook.com,outlook.com,45015,11732,2025-05-03T10:34:38Z,1,43,2,4,1,SG,SG,231,1,1,0
C000113,Edge AI for Wildlife Monitoring,A tech innovation project focused on edge ai for wildlife monitoring aiming to improve real-world performance.,U005409,user5739@hotmail.com,hotmail.com,54238,16733,2025-04-29T10:34:38Z,3,18,0,3,0,JP,AU,1693,2,1,0
C000114,Energy Harvesting IoT Sensor,A tech innovation project focused on energy harvesting iot sensor aiming to improve real-world performance.,U007714,user12336@yahoo.com,yahoo.com,31840,2970,2024-06-22T10:34:38Z,2,9,0,3,0,UK,AU,1305,4,1,0
C000115,Wearable Health Analytics Patch,A tech innovation project focused on wearable health analytics patch aiming to improve real-world performance.,U002464,user17367@hotmail.com,hotmail.com,30927,9929,2024-08-24T10:34:38Z,1,0,0,3,0,UK,JP,236,1,2,0
